Scenario: Two independently-attacked vehicles at the roundabout
Showing all vehicles, one after another (not interleaved tick-by-tick)
    t |   vehicle | speed(mph) | lane |     radar |    camera |     lidar | belief_dist | obstacle? |    source |            reacting_to | collision | roundabout
--- first ---
  0.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.6 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.7 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.8 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  0.9 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.6 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.7 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.8 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  1.9 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.6 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.7 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.8 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  2.9 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | 
  3.6 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | MISSED EXIT
  3.7 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 157m left)
  3.8 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 157m left)
  3.9 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 156m left)
  4.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 156m left)
  4.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 156m left)
  4.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 156m left)
  4.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 156m left)
  4.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 155m left)
  4.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 155m left)
  4.6 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 155m left)
  4.7 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 155m left)
  4.8 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 154m left)
  4.9 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 154m left)
  5.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 154m left)
  5.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 154m left)
  5.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 154m left)
  5.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 153m left)
  5.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 153m left)
  5.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 153m left)
  5.6 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 153m left)
  5.7 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 152m left)
  5.8 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 152m left)
  5.9 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 152m left)
  6.0 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 152m left)
  6.1 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 151m left)
  6.2 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 151m left)
  6.3 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 151m left)
  6.4 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 151m left)
  6.5 |     first |       5.00 |    0 |         - |         - |         - |           - |     False |      none |                      - |           | (looping, 151m left)
